"","organization","work_area","project","survey","site_id","date","sampling_bout","dive_supervisor","surveyor","hakai_id","sample_type","collected_start","collected_end","species","quantity","length_cm","estimated_quantity","quality_log","qc_flag_lengths","qc_flag_abunds","substrate","decimal_lat","decimal_long","end_transect_decimal_lat","end_transect_decimal_lon"
"11","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE1","2022-08-06",1,"faye,krystal","kyle","MGFSH75906","fish","2022-08-06 13:11:00","2022-08-06 13:15:00","perch/shiner",1,15,FALSE,"1: QCd by FM","AV","AV","sand",51.64707199,"-128.1204211",51.6470739,"-128.1206929"
"12","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE1","2022-08-06",1,"faye,krystal","kyle","MGFSH75907","fish","2022-08-06 13:11:00","2022-08-06 13:15:00","pipefish/bay",1,20,FALSE,"1: QCd by FM","AV","SVD","sand",51.64707199,"-128.1204211",51.6470739,"-128.1206929"
"13","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE1","2022-08-06",1,"faye,krystal","kyle","MGFSH75908","fish","2022-08-06 13:11:00","2022-08-06 13:15:00","pipefish/bay",1,23,FALSE,"1: QCd by FM","AV","SVD","sand",51.64707199,"-128.1204211",51.6470739,"-128.1206929"
"14","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE1","2022-08-06",1,"faye,krystal","gillian","MGFSH75909","fish","2022-08-06 13:28:00","2022-08-06 13:33:00","threespine_stickleback",30,3,FALSE,"1: QCd by FM","AV",NA,"sand",51.64707199,"-128.1204211",51.6470739,"-128.1206929"
"15","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE1","2022-08-06",1,"faye,krystal","gillian","MGFSH75910","fish","2022-08-06 13:28:00","2022-08-06 13:33:00","rockfish/cqb",10,4,FALSE,"1: QCd by FM","AV",NA,"sand",51.64707199,"-128.1204211",51.6470739,"-128.1206929"
"16","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE1","2022-08-06",1,"faye,krystal","gillian","MGFSH75911","fish","2022-08-06 13:28:00","2022-08-06 13:33:00","perch/shiner",1,8,FALSE,"1: QCd by FM","AV",NA,"sand",51.64707199,"-128.1204211",51.6470739,"-128.1206929"
"17","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2","2022-08-06",2,"faye,krystal","kyle","MGFSH75912","fish","2022-08-06 11:15:00","2022-08-06 11:20:00","perch/shiner",83,12,FALSE,"1: QCd by FM","AV","SVC","sand",51.64662622,"-128.1197998",51.6466265,"-128.1200722"
"18","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2","2022-08-06",2,"faye,krystal","kyle","MGFSH75913","fish","2022-08-06 11:15:00","2022-08-06 11:20:00","perch/shiner",9,7,FALSE,"1: QCd by FM","AV","AV","sand",51.64662622,"-128.1197998",51.6466265,"-128.1200722"
"19","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2","2022-08-06",2,"faye,krystal","kyle","MGFSH75914","fish","2022-08-06 11:15:00","2022-08-06 11:20:00","perch/shiner",3,15,FALSE,"1: QCd by FM","AV","AV","sand",51.64662622,"-128.1197998",51.6466265,"-128.1200722"
"20","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2","2022-08-06",2,"faye,krystal","kyle","MGFSH75915","fish","2022-08-06 11:15:00","2022-08-06 11:20:00","perch/shiner",1,14,FALSE,"1: QCd by FM","AV","AV","sand",51.64662622,"-128.1197998",51.6466265,"-128.1200722"
"21","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2","2022-08-06",2,"faye,krystal","kyle","MGFSH75916","fish","2022-08-06 11:15:00","2022-08-06 11:20:00","perch/shiner",3,13,FALSE,"1: QCd by FM","AV","AV","sand",51.64662622,"-128.1197998",51.6466265,"-128.1200722"
"22","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2","2022-08-06",2,"faye,krystal","kyle","MGFSH75917","fish","2022-08-06 11:15:00","2022-08-06 11:20:00","perch/shiner",4,3,FALSE,"1: QCd by FM","SVC","AV","sand",51.64662622,"-128.1197998",51.6466265,"-128.1200722"
"23","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2","2022-08-06",2,"faye,krystal","kyle","MGFSH75918","fish","2022-08-06 11:15:00","2022-08-06 11:20:00","perch/shiner",4,4,FALSE,"1: QCd by FM","AV","AV","sand",51.64662622,"-128.1197998",51.6466265,"-128.1200722"
"24","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2","2022-08-06",2,"faye,krystal","kyle","MGFSH75919","fish","2022-08-06 11:15:00","2022-08-06 11:20:00","perch/shiner",1,5,FALSE,"1: QCd by FM","AV","AV","sand",51.64662622,"-128.1197998",51.6466265,"-128.1200722"
"25","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2","2022-08-06",2,"faye,krystal","kyle","MGFSH75920","fish","2022-08-06 11:15:00","2022-08-06 11:20:00","pipefish/bay",1,17,FALSE,"1: QCd by FM","AV","SVD","sand",51.64662622,"-128.1197998",51.6466265,"-128.1200722"
"26","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2","2022-08-06",2,"faye,krystal","kyle","MGFSH75921","fish","2022-08-06 11:15:00","2022-08-06 11:20:00","pipefish/bay",1,18,FALSE,"1: QCd by FM","AV","SVD","sand",51.64662622,"-128.1197998",51.6466265,"-128.1200722"
"27","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2","2022-08-06",2,"faye,krystal","kyle","MGFSH75922","fish","2022-08-06 11:15:00","2022-08-06 11:20:00","threespine_stickleback",105,4,FALSE,"1: QCd by FM","AV","AV","sand",51.64662622,"-128.1197998",51.6466265,"-128.1200722"
"28","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2","2022-08-06",2,"faye,krystal","kyle","MGFSH75924","fish","2022-08-06 11:15:00","2022-08-06 11:20:00","threespine_stickleback",10,5,FALSE,"1: QCd by FM","AV","AV","sand",51.64662622,"-128.1197998",51.6466265,"-128.1200722"
"29","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2","2022-08-06",2,"faye,krystal","gillian","MGFSH75926","fish","2022-08-06 11:29:00","2022-08-06 11:34:00","perch/shiner",50,4,FALSE,"1: QCd by FM","AV","AV","sand",51.64662622,"-128.1197998",51.6466265,"-128.1200722"
"30","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2","2022-08-06",2,"faye,krystal","gillian","MGFSH75927","fish","2022-08-06 11:29:00","2022-08-06 11:34:00","perch/shiner",3,9,FALSE,"1: QCd by FM","AV","AV","sand",51.64662622,"-128.1197998",51.6466265,"-128.1200722"
"31","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2","2022-08-06",2,"faye,krystal","gillian","MGFSH75928","fish","2022-08-06 11:29:00","2022-08-06 11:34:00","perch/shiner",11,10,FALSE,"1: QCd by FM","AV","AV","sand",51.64662622,"-128.1197998",51.6466265,"-128.1200722"
"32","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2","2022-08-06",2,"faye,krystal","gillian","MGFSH75929","fish","2022-08-06 11:29:00","2022-08-06 11:34:00","perch/shiner",3,5,FALSE,"1: QCd by FM","AV","AV","sand",51.64662622,"-128.1197998",51.6466265,"-128.1200722"
"33","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2","2022-08-06",2,"faye,krystal","gillian","MGFSH75930","fish","2022-08-06 11:29:00","2022-08-06 11:34:00","perch/shiner",1,7,FALSE,"1: QCd by FM","AV","AV","sand",51.64662622,"-128.1197998",51.6466265,"-128.1200722"
"34","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2","2022-08-06",2,"faye,krystal","gillian","MGFSH75931","fish","2022-08-06 11:29:00","2022-08-06 11:34:00","perch/shiner",1,11,FALSE,"1: QCd by FM","AV","AV","sand",51.64662622,"-128.1197998",51.6466265,"-128.1200722"
"35","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2","2022-08-06",2,"faye,krystal","gillian","MGFSH75932","fish","2022-08-06 11:29:00","2022-08-06 11:34:00","perch/shiner",50,8,FALSE,"1: QCd by FM","AV","AV","sand",51.64662622,"-128.1197998",51.6466265,"-128.1200722"
"36","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE2","2022-08-06",2,"faye,krystal","gillian","MGFSH75933","fish","2022-08-06 11:29:00","2022-08-06 11:34:00","greenling/lingcod",1,16,FALSE,"1: QCd by FM","AV",NA,"sand",51.64662622,"-128.1197998",51.6466265,"-128.1200722"
"37","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE3","2022-08-06",3,"faye,krystal","gillian","MGFSH75934","fish","2022-08-06 11:01:00","2022-08-06 11:05:00","perch/shiner",6,10,FALSE,"1: QCd by FM","AV","AV","sand",51.64655924,"-128.1191054",51.6465595,"-128.1193762"
"38","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE3","2022-08-06",3,"faye,krystal","gillian","MGFSH75935","fish","2022-08-06 11:01:00","2022-08-06 11:05:00","perch/shiner",1,5,FALSE,"1: QCd by FM","AV","AV","sand",51.64655924,"-128.1191054",51.6465595,"-128.1193762"
"39","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE3","2022-08-06",3,"faye,krystal","gillian","MGFSH75936","fish","2022-08-06 11:01:00","2022-08-06 11:05:00","perch/shiner",2,9,FALSE,"1: QCd by FM","AV","AV","sand",51.64655924,"-128.1191054",51.6465595,"-128.1193762"
"40","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE3","2022-08-06",3,"faye,krystal","gillian","MGFSH75937","fish","2022-08-06 11:01:00","2022-08-06 11:05:00","perch/shiner",1,7,FALSE,"1: QCd by FM","AV","AV","sand",51.64655924,"-128.1191054",51.6465595,"-128.1193762"
"41","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE3","2022-08-06",3,"faye,krystal","gillian","MGFSH75938","fish","2022-08-06 11:01:00","2022-08-06 11:05:00","greenling/lingcod",1,15,FALSE,"1: QCd by FM","AV",NA,"sand",51.64655924,"-128.1191054",51.6465595,"-128.1193762"
"42","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE3","2022-08-06",3,"faye,krystal","kyle","MGFSH75939","fish","2022-08-06 10:46:00","2022-08-06 10:51:00","perch/shiner",13,12,FALSE,"1: QCd by FM","AV","AV","sand",51.64655924,"-128.1191054",51.6465595,"-128.1193762"
"43","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE3","2022-08-06",3,"faye,krystal","kyle","MGFSH75940","fish","2022-08-06 10:46:00","2022-08-06 10:51:00","perch/shiner",2,14,FALSE,"1: QCd by FM","AV","AV","sand",51.64655924,"-128.1191054",51.6465595,"-128.1193762"
"44","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE3","2022-08-06",3,"faye,krystal","kyle","MGFSH75941","fish","2022-08-06 10:46:00","2022-08-06 10:51:00","perch/shiner",9,7,FALSE,"1: QCd by FM","AV","AV","sand",51.64655924,"-128.1191054",51.6465595,"-128.1193762"
"45","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE3","2022-08-06",3,"faye,krystal","kyle","MGFSH75942","fish","2022-08-06 10:46:00","2022-08-06 10:51:00","perch/shiner",4,15,FALSE,"1: QCd by FM","AV","AV","sand",51.64655924,"-128.1191054",51.6465595,"-128.1193762"
"46","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE3","2022-08-06",3,"faye,krystal","kyle","MGFSH75943","fish","2022-08-06 10:46:00","2022-08-06 10:51:00","perch/shiner",6,5,FALSE,"1: QCd by FM","AV","AV","sand",51.64655924,"-128.1191054",51.6465595,"-128.1193762"
"47","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE3","2022-08-06",3,"faye,krystal","kyle","MGFSH75944","fish","2022-08-06 10:46:00","2022-08-06 10:51:00","greenling/lingcod",1,18,FALSE,"1: QCd by FM","AV","SVD","sand",51.64655924,"-128.1191054",51.6465595,"-128.1193762"
"48","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE3","2022-08-06",3,"faye,krystal","kyle","MGFSH75945","fish","2022-08-06 10:46:00","2022-08-06 10:51:00","greenling/lingcod",1,20,FALSE,"1: QCd by FM","AV","SVD","sand",51.64655924,"-128.1191054",51.6465595,"-128.1193762"
"49","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE3","2022-08-06",3,"faye,krystal","kyle","MGFSH75946","fish","2022-08-06 10:46:00","2022-08-06 10:51:00","greenling/lingcod",1,25,FALSE,"1: QCd by FM","AV","SVD","sand",51.64655924,"-128.1191054",51.6465595,"-128.1193762"
"50","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_EDGE3","2022-08-06",3,"faye,krystal","kyle","MGFSH75947","fish","2022-08-06 10:46:00","2022-08-06 10:51:00","greenling/lingcod",1,22,FALSE,"1: QCd by FM","AV","SVD","sand",51.64655924,"-128.1191054",51.6465595,"-128.1193762"
"51","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR4","2022-08-06",4,"faye,krystal","gillian","MGFSH75948","fish","2022-08-06 09:49:00","2022-08-06 09:54:00","perch/shiner",5,10,FALSE,"1: QCd by FM","AV","AV","sand",51.6459294,"-128.1193665",51.6459304,"-128.1196358"
"52","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR4","2022-08-06",4,"faye,krystal","gillian","MGFSH75949","fish","2022-08-06 09:49:00","2022-08-06 09:54:00","perch/shiner",2,12,FALSE,"1: QCd by FM","AV","AV","sand",51.6459294,"-128.1193665",51.6459304,"-128.1196358"
"53","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR4","2022-08-06",4,"faye,krystal","gillian","MGFSH75950","fish","2022-08-06 09:49:00","2022-08-06 09:54:00","perch/shiner",1,11,FALSE,"1: QCd by FM","AV","AV","sand",51.6459294,"-128.1193665",51.6459304,"-128.1196358"
"54","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR4","2022-08-06",4,"faye,krystal","kyle","MGFSH75951","fish","2022-08-06 09:37:00","2022-08-06 09:42:00","perch/shiner",6,15,FALSE,"1: QCd by FM","AV","AV","sand",51.6459294,"-128.1193665",51.6459304,"-128.1196358"
"55","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR4","2022-08-06",4,"faye,krystal","kyle","MGFSH75952","fish","2022-08-06 09:37:00","2022-08-06 09:42:00","perch/shiner",12,7,FALSE,"1: QCd by FM","AV","AV","sand",51.6459294,"-128.1193665",51.6459304,"-128.1196358"
"56","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR4","2022-08-06",4,"faye,krystal","kyle","MGFSH75953","fish","2022-08-06 09:37:00","2022-08-06 09:42:00","perch/shiner",2,16,FALSE,"1: QCd by FM","SVC","AV","sand",51.6459294,"-128.1193665",51.6459304,"-128.1196358"
"57","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR5","2022-08-06",5,"faye,krystal","gillian","MGFSH75959","fish","2022-08-06 09:13:00","2022-08-06 09:17:00","perch/shiner",1,5,FALSE,"1: QCd by FM","AV","AV","sand",51.64532132,"-128.1192523",51.6453219,"-128.1195226"
"58","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR5","2022-08-06",5,"faye,krystal","gillian","MGFSH75960","fish","2022-08-06 09:13:00","2022-08-06 09:17:00","perch/shiner",3,10,FALSE,"1: QCd by FM","AV","AV","sand",51.64532132,"-128.1192523",51.6453219,"-128.1195226"
"59","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR5","2022-08-06",5,"faye,krystal","gillian","MGFSH75961","fish","2022-08-06 09:13:00","2022-08-06 09:17:00","perch/shiner",1,7,FALSE,"1: QCd by FM","AV","AV","sand",51.64532132,"-128.1192523",51.6453219,"-128.1195226"
"60","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR5","2022-08-06",5,"faye,krystal","gillian","MGFSH75962","fish","2022-08-06 09:13:00","2022-08-06 09:17:00","perch/shiner",1,6,FALSE,"1: QCd by FM","AV","AV","sand",51.64532132,"-128.1192523",51.6453219,"-128.1195226"
"61","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR5","2022-08-06",5,"faye,krystal","gillian","MGFSH75963","fish","2022-08-06 09:13:00","2022-08-06 09:17:00","perch/shiner",2,8,FALSE,"1: QCd by FM","AV","AV","sand",51.64532132,"-128.1192523",51.6453219,"-128.1195226"
"62","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR5","2022-08-06",5,"faye,krystal","kyle","MGFSH75964","fish","2022-08-06 08:58:00","2022-08-06 09:02:00","perch/shiner",1,12,FALSE,"1: QCd by FM","AV","SVD","sand",51.64532132,"-128.1192523",51.6453219,"-128.1195226"
"63","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR5","2022-08-06",5,"faye,krystal","kyle","MGFSH75965","fish","2022-08-06 08:58:00","2022-08-06 09:02:00","perch/shiner",1,15,FALSE,"1: QCd by FM","AV","SVD","sand",51.64532132,"-128.1192523",51.6453219,"-128.1195226"
"64","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR5","2022-08-06",5,"faye,krystal","kyle","MGFSH75966","fish","2022-08-06 08:58:00","2022-08-06 09:02:00","threespine_stickleback",95,3,FALSE,"1: QCd by FM","AV","AV","sand",51.64532132,"-128.1192523",51.6453219,"-128.1195226"
"65","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR5","2022-08-06",5,"faye,krystal","kyle","MGFSH75967","fish","2022-08-06 08:58:00","2022-08-06 09:02:00","threespine_stickleback",10,4,FALSE,"1: QCd by FM","AV","AV","sand",51.64532132,"-128.1192523",51.6453219,"-128.1195226"
"66","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR6","2022-08-06",6,"faye,krystal","gillian","MGFSH75968","fish","2022-08-06 08:38:00","2022-08-06 08:42:00","rockfish/cqb",1,5,FALSE,"1: QCd by FM","AV",NA,"sand",51.64474874,"-128.1198408",51.6447483,"-128.1201111"
"67","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR6","2022-08-06",6,"faye,krystal","gillian","MGFSH75969","fish","2022-08-06 08:38:00","2022-08-06 08:42:00","perch/shiner",1,10,FALSE,"1: QCd by FM","AV",NA,"sand",51.64474874,"-128.1198408",51.6447483,"-128.1201111"
"68","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR6","2022-08-06",6,"faye,krystal","kyle","MGFSH75970","fish","2022-08-06 08:25:00","2022-08-06 08:30:00","perch/shiner",4,12,FALSE,"1: QCd by FM","AV","AV","sand",51.64474874,"-128.1198408",51.6447483,"-128.1201111"
"69","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR6","2022-08-06",6,"faye,krystal","kyle","MGFSH75971","fish","2022-08-06 08:25:00","2022-08-06 08:30:00","perch/shiner",5,15,FALSE,"1: QCd by FM","AV","AV","sand",51.64474874,"-128.1198408",51.6447483,"-128.1201111"
"70","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR6","2022-08-06",6,"faye,krystal","kyle","MGFSH75972","fish","2022-08-06 08:25:00","2022-08-06 08:30:00","perch/shiner",2,10,FALSE,"1: QCd by FM","AV","AV","sand",51.64474874,"-128.1198408",51.6447483,"-128.1201111"
"71","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR6","2022-08-06",6,"faye,krystal","kyle","MGFSH75973","fish","2022-08-06 08:25:00","2022-08-06 08:30:00","perch/shiner",2,13,FALSE,"1: QCd by FM","AV","AV","sand",51.64474874,"-128.1198408",51.6447483,"-128.1201111"
"72","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1","2022-08-07",1,"carolyn,faye","kyle","MGFSH76012","fish","2022-08-07 09:05:00","2022-08-07 09:10:00","perch/shiner",1,12,FALSE,"1: QCd by CP","AV",NA,"sand",51.67881951,"-128.1147522",51.678652,"-128.114753"
"73","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1","2022-08-07",1,"carolyn,faye","kyle","MGFSH76013","fish","2022-08-07 09:05:00","2022-08-07 09:10:00","rockfish/black",1,21,FALSE,"1: QCd by CP","AV",NA,"sand",51.67881951,"-128.1147522",51.678652,"-128.114753"
"74","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1","2022-08-07",1,"carolyn,faye","kyle","MGFSH76014","fish","2022-08-07 09:05:00","2022-08-07 09:10:00","herring/pacific",500,9,TRUE,"1: QCd by CP","AV",NA,"sand",51.67881951,"-128.1147522",51.678652,"-128.114753"
"75","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1","2022-08-07",1,"carolyn,faye","kyle","MGFSH76015","fish","2022-08-07 09:05:00","2022-08-07 09:10:00","sandlance/pacific",2000,9,TRUE,"1: QCd by CP","AV",NA,"sand",51.67881951,"-128.1147522",51.678652,"-128.114753"
"76","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1","2022-08-07",1,"carolyn,faye","gillian","MGFSH76016","fish","2022-08-07 09:22:00","2022-08-07 09:27:00","rockfish/copper",1,25,FALSE,"1: QCd by CP","SVC","AV","sand",51.67881951,"-128.1147522",51.678652,"-128.114753"
"77","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1","2022-08-07",1,"carolyn,faye","gillian","MGFSH76017","fish","2022-08-07 09:22:00","2022-08-07 09:27:00","rockfish/copper",3,20,FALSE,"1: QCd by CP","AV","AV","sand",51.67881951,"-128.1147522",51.678652,"-128.114753"
"78","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1","2022-08-07",1,"carolyn,faye","gillian","MGFSH76018","fish","2022-08-07 09:22:00","2022-08-07 09:27:00","rockfish/copper",1,22,FALSE,"1: QCd by CP","AV","AV","sand",51.67881951,"-128.1147522",51.678652,"-128.114753"
"79","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE1","2022-08-07",1,"carolyn,faye","gillian","MGFSH76019","fish","2022-08-07 09:22:00","2022-08-07 09:27:00","rockfish/black-yellowtail_complex",1,6,FALSE,"1: changed from rockfish/black to rockfish/black-yellowtail_complex","AV",NA,"sand",51.67881951,"-128.1147522",51.678652,"-128.114753"
